iter	Passed	Remaining
0	190	189936
1	291	145598
2	401	133271
3	501	124775
4	594	118230
5	689	114165
6	788	111877
7	890	110381
8	994	109533
9	1091	108031
10	1188	106840
11	1281	105477
12	1374	104351
13	1472	103725
14	1571	103221
15	1672	102873
16	1768	102272
17	1870	102047
18	1964	101435
19	2061	101020
20	2166	101012
21	2261	100517
22	2360	100260
23	2455	99866
24	2562	99943
25	2665	99837
26	2759	99442
27	2857	99205
28	2957	99034
29	3055	98806
30	3161	98815
31	3282	99301
32	3398	99581
33	3520	100020
34	3630	100088
35	3741	100181
36	3839	99920
37	3942	99816
38	4044	99667
39	4143	99446
40	4239	99153
41	4339	98981
42	4426	98520
43	4518	98179
44	4613	97907
45	4698	97447
46	4783	97002
47	4889	96974
48	4995	96948
49	5100	96904
50	5190	96587
51	5289	96425
52	5381	96155
53	5477	95957
54	5575	95804
55	5658	95389
56	5750	95128
57	5830	94694
58	5929	94569
59	6030	94480
60	6142	94550
61	6239	94390
62	6337	94252
63	6440	94195
64	6524	93845
65	6616	93626
66	6719	93564
67	6814	93395
68	6907	93195
69	7005	93079
70	7113	93082
71	7221	93072
72	7322	92979
73	7450	93236
74	7553	93158
75	7650	93013
76	7727	92629
77	7831	92576
78	7915	92281
79	8011	92129
80	8097	91867
81	8202	91822
82	8286	91549
83	8391	91505
84	8494	91442
85	8600	91406
86	8704	91346
87	8798	91181
88	8886	90961
89	8985	90856
90	9084	90743
91	9211	90912
92	9322	90919
93	9449	91072
94	9567	91138
95	9680	91160
96	9782	91064
97	9879	90928
98	9998	90995
99	10115	91035
100	10212	90904
101	10322	90875
102	10426	90799
103	10536	90776
104	10643	90727
105	10748	90656
106	10836	90437
107	10937	90335
108	11033	90187
109	11125	90018
110	11231	89950
111	11336	89881
112	11439	89792
113	11519	89531
114	11603	89297
115	11714	89275
116	11809	89123
117	11906	88999
118	11992	88786
119	12086	88636
120	12188	88543
121	12300	88520
122	12410	88490
123	12515	88415
124	12632	88425
125	12751	88450
126	12857	88384
127	12959	88286
128	13062	88199
129	13197	88324
130	13302	88245
131	13422	88262
132	13547	88315
133	13657	88266
134	13760	88172
135	13883	88200
136	13996	88168
137	14107	88120
138	14208	88012
139	14303	87865
140	14403	87746
141	14496	87594
142	14582	87390
143	14678	87257
144	14775	87125
145	14880	87038
146	14987	86968
147	15092	86886
148	15180	86699
149	15269	86525
150	15364	86387
151	15457	86237
152	15561	86148
153	15669	86079
154	15764	85943
155	15867	85845
156	15958	85690
